node_id,activation_time_ms
891,153.5334
892,154.6663
893,167.7809
894,166.7119
895,169.4765
896,157.5643
897,161.0625
898,159.2469
899,149.8638
900,170.4243
901,166.0163
902,149.1192
903,172.0714
904,156.7766
905,141.7004
906,153.2880
907,170.6143
908,166.0942
909,141.9709
910,165.3403
911,140.8374
912,156.2575
913,155.3690
914,180.5700
915,168.9959
916,146.1256
917,154.5692
918,165.4355
919,155.8599
920,137.6092
921,147.7897
922,171.3626
923,142.0842
924,155.6529
925,161.4049
926,156.3130
927,150.5690
928,164.3537
929,159.9827
930,160.3507
931,150.1424
932,155.1312
933,151.4165
934,159.3284
935,153.1673
936,161.3348
937,164.8277
938,170.1499
939,162.2844
940,146.8834
941,147.1714
942,156.2963
943,171.9061
944,162.3354
945,156.8082
946,161.5602
947,149.5200
948,148.3335
949,152.9907
950,144.9240
951,155.5944
952,144.5315
953,148.2253
954,153.6288
955,163.8915
956,156.6970
957,164.9990
958,156.3876
959,150.6495
960,155.0473
961,156.7220
962,170.7033
963,165.3630
964,169.8695
965,176.5723
966,163.7502
967,160.6235
968,144.9398
969,168.8231
970,158.4354
971,170.4154
972,167.4428
973,179.5406
974,155.4179
975,155.0409
976,138.7096
977,162.0839
978,133.6006
979,164.8529
980,147.1469
981,175.9577
982,170.8744
983,158.4556
984,151.2381
985,144.3952
986,156.2675
987,150.8572
988,160.8566
989,146.8789
990,151.6503
991,142.3053
992,139.9309
993,151.8407
994,157.6340
995,147.6361
996,174.0982
997,155.4682
998,146.1884
999,163.6114
1000,143.8954
1001,169.4199
1002,152.9265
1003,142.6263
1004,139.4730
1005,142.2759
1006,144.2228
1007,158.0842
1008,154.0037
1009,150.7531
1010,140.4887
1011,163.3946
1012,156.7891
1013,142.4080
1014,159.8497
1015,154.3829
1016,165.2296
1017,170.9937
1018,163.8375
1019,164.1845
1020,161.1235
1021,159.2700
1022,151.1771
1023,164.2304
1024,150.8214
1025,173.4546
1026,162.5772
1027,151.0753
1028,157.6374
1029,152.5221
1030,145.1670
1031,142.4191
1032,150.0392
1033,159.1193
1034,160.4082
1035,147.8793
1036,175.2886
1037,159.0539
1038,152.2089
1039,159.4010
1040,161.5253
1041,140.8529
1042,148.7390
1043,145.9452
1044,163.4305
1045,160.8181
1046,162.2135
1047,154.4663
1048,150.1906
1049,169.3628
1050,172.9405
1051,181.6571
1052,172.7130
1053,142.8047
1054,146.7974
1055,166.1076
1056,166.5693
1057,159.6880
1058,163.3610
1059,138.9288
1060,170.2755
1061,172.2343
1062,168.5897
1063,152.3186
1064,149.2776
1065,172.8315
1066,158.0694
1067,167.9821
1068,158.8755
1069,159.5910
1070,136.4000
1071,163.0647
1072,145.5811
1073,165.4281
1074,139.1673
1075,155.4743
1076,150.7233
1077,154.9668
1078,155.2671
1079,159.2570
1080,151.1249
1081,161.0122
1082,162.2497
1083,136.9231
1084,153.5183
1085,148.9495
1086,173.6469
1087,146.6271
1088,149.1431
1089,149.4598
1090,164.1134
1091,161.8602
1092,144.3174
1093,158.7827
1094,157.1828
1095,147.1558
1096,152.7300
1097,155.0882
1098,156.0677
1099,149.1550
1100,150.0986
1101,156.5705
1102,150.1442
1103,141.6035
1104,157.6524
1105,163.7024
1106,142.7817
1107,165.3341
1108,146.0378
1109,152.7504
1110,142.1474
1111,159.6631
1112,146.0624
1113,150.3476
1114,168.9604
1115,157.8048
1116,157.0714
1117,154.5629
1118,151.2109
1119,145.5281
1120,153.0992
1121,157.0902
1122,149.1996
1123,152.1628
1124,161.2221
1125,161.8488
1126,146.9365
1127,174.0765
1128,167.5401
1129,143.8974
1130,174.9472
1131,153.7446
1132,151.1503
1133,148.9113
1134,159.3798
1135,147.9756
1136,147.8148
1137,161.5094
1138,178.6355
1139,145.7933
1140,152.8713
1141,160.7980
1142,155.7776
1143,160.3240
1144,167.1790
1145,164.7585
